PLAYER,TEAM,TEAM_FULL,TEAM_SIDE,PTS,REB,AST,FG3M,MIN,ARENA,CITY,STATE,GAME_DATE
Amari Williams,BOS,Boston Celtics,Home,1.0,1.0,0.5,0.0,3.4,TD Garden,Boston,MA,2025-11-16
Anfernee Simons,BOS,Boston Celtics,Home,14.5,2.2,2.4,2.9,25.4,TD Garden,Boston,MA,2025-11-16
Baylor Scheierman,BOS,Boston Celtics,Home,2.9,2.1,0.2,0.8,9.1,TD Garden,Boston,MA,2025-11-16
Chris Boucher,BOS,Boston Celtics,Home,2.4,2.4,0.3,0.1,10.9,TD Garden,Boston,MA,2025-11-16
Derrick White,BOS,Boston Celtics,Home,15.5,3.7,5.2,2.5,32.4,TD Garden,Boston,MA,2025-11-16
Hugo González,BOS,Boston Celtics,Home,3.0,2.0,0.6,0.5,12.4,TD Garden,Boston,MA,2025-11-16
Jaylen Brown,BOS,Boston Celtics,Home,27.0,5.1,4.2,2.0,31.6,TD Garden,Boston,MA,2025-11-16
Jordan Walsh,BOS,Boston Celtics,Home,4.4,4.0,0.8,0.8,15.5,TD Garden,Boston,MA,2025-11-16
Josh Minott,BOS,Boston Celtics,Home,8.1,5.7,1.5,1.1,20.9,TD Garden,Boston,MA,2025-11-16
Luka Garza,BOS,Boston Celtics,Home,6.8,4.2,0.9,0.5,14.2,TD Garden,Boston,MA,2025-11-16
Neemias Queta,BOS,Boston Celtics,Home,8.9,8.1,1.6,0.0,23.9,TD Garden,Boston,MA,2025-11-16
Payton Pritchard,BOS,Boston Celtics,Home,15.3,4.0,5.2,2.1,31.8,TD Garden,Boston,MA,2025-11-16
Ron Harper Jr.,BOS,Boston Celtics,Home,2.7,1.0,1.0,0.7,5.2,TD Garden,Boston,MA,2025-11-16
Sam Hauser,BOS,Boston Celtics,Home,7.0,3.3,1.3,2.2,22.6,TD Garden,Boston,MA,2025-11-16
Xavier Tillman,BOS,Boston Celtics,Home,2.9,2.4,0.6,0.3,8.7,TD Garden,Boston,MA,2025-11-16
Bogdan Bogdanović,LAC,Los Angeles Clippers,Away,9.5,3.2,3.2,2.0,24.7,TD Garden,Boston,MA,2025-11-16
Bradley Beal,LAC,Los Angeles Clippers,Away,8.2,0.8,1.7,1.2,20.2,TD Garden,Boston,MA,2025-11-16
Brook Lopez,LAC,Los Angeles Clippers,Away,6.8,2.3,0.4,1.4,15.4,TD Garden,Boston,MA,2025-11-16
Cam Christie,LAC,Los Angeles Clippers,Away,5.5,1.9,1.0,0.9,11.5,TD Garden,Boston,MA,2025-11-16
Chris Paul,LAC,Los Angeles Clippers,Away,2.3,1.8,3.6,0.6,12.9,TD Garden,Boston,MA,2025-11-16
Derrick Jones Jr.,LAC,Los Angeles Clippers,Away,10.9,2.5,1.2,1.3,26.1,TD Garden,Boston,MA,2025-11-16
Ivica Zubac,LAC,Los Angeles Clippers,Away,16.2,10.5,2.3,0.0,31.1,TD Garden,Boston,MA,2025-11-16
Jahmyl Telfort,LAC,Los Angeles Clippers,Away,0.3,0.7,0.3,0.0,5.3,TD Garden,Boston,MA,2025-11-16
James Harden,LAC,Los Angeles Clippers,Away,25.0,6.3,9.1,3.6,35.9,TD Garden,Boston,MA,2025-11-16
John Collins,LAC,Los Angeles Clippers,Away,11.6,4.8,0.8,0.9,24.8,TD Garden,Boston,MA,2025-11-16
Jordan Miller,LAC,Los Angeles Clippers,Away,12.0,3.0,0.5,2.5,18.9,TD Garden,Boston,MA,2025-11-16
Kawhi Leonard,LAC,Los Angeles Clippers,Away,24.3,5.7,3.5,2.3,33.5,TD Garden,Boston,MA,2025-11-16
Kobe Brown,LAC,Los Angeles Clippers,Away,2.1,2.1,1.0,0.1,8.5,TD Garden,Boston,MA,2025-11-16
Kobe Sanders,LAC,Los Angeles Clippers,Away,3.5,0.8,1.3,0.8,11.7,TD Garden,Boston,MA,2025-11-16
Kris Dunn,LAC,Los Angeles Clippers,Away,7.3,2.4,2.2,0.8,25.7,TD Garden,Boston,MA,2025-11-16
Nicolas Batum,LAC,Los Angeles Clippers,Away,3.5,2.6,0.8,1.0,17.4,TD Garden,Boston,MA,2025-11-16
Yanic Konan Niederhäuser,LAC,Los Angeles Clippers,Away,3.8,1.2,0.4,0.0,4.5,TD Garden,Boston,MA,2025-11-16
Bismack Biyombo,SAS,San Antonio Spurs,Home,0.4,1.0,0.4,0.0,8.8,Frost Bank Center,San Antonio,TX,2025-11-16
