PLAYER,MARKET,LINE,ODDS,IMPLIED_PROB,HOME_TEAM,AWAY_TEAM,GAME
LaMelo Ball,AST,7.5,-131,0.5670995670995671,Indiana Pacers,Charlotte Hornets,Charlotte Hornets @ Indiana Pacers
Andrew Nembhard,AST,7.5,110,0.47619047619047616,Indiana Pacers,Charlotte Hornets,Charlotte Hornets @ Indiana Pacers
Collin Sexton,AST,4.5,112,0.4716981132075472,Indiana Pacers,Charlotte Hornets,Charlotte Hornets @ Indiana Pacers
Pascal Siakam,AST,3.5,-153,0.6047430830039525,Indiana Pacers,Charlotte Hornets,Charlotte Hornets @ Indiana Pacers
T.J. McConnell,AST,3.5,-107,0.5169082125603864,Indiana Pacers,Charlotte Hornets,Charlotte Hornets @ Indiana Pacers
Kon Knueppel,AST,2.5,-128,0.5614035087719298,Indiana Pacers,Charlotte Hornets,Charlotte Hornets @ Indiana Pacers
Jarace Walker,AST,2.5,120,0.45454545454545453,Indiana Pacers,Charlotte Hornets,Charlotte Hornets @ Indiana Pacers
Bennedict Mathurin,AST,2.5,131,0.4329004329004329,Indiana Pacers,Charlotte Hornets,Charlotte Hornets @ Indiana Pacers
Sion James,AST,1.5,-101,0.5024875621890548,Indiana Pacers,Charlotte Hornets,Charlotte Hornets @ Indiana Pacers
Pascal Siakam,PTS,25.5,-107,0.5169082125603864,Indiana Pacers,Charlotte Hornets,Charlotte Hornets @ Indiana Pacers
LaMelo Ball,PTS,22.5,-114,0.5327102803738317,Indiana Pacers,Charlotte Hornets,Charlotte Hornets @ Indiana Pacers
Miles Bridges,PTS,21.5,-123,0.5515695067264574,Indiana Pacers,Charlotte Hornets,Charlotte Hornets @ Indiana Pacers
Kon Knueppel,PTS,16.5,-125,0.5555555555555556,Indiana Pacers,Charlotte Hornets,Charlotte Hornets @ Indiana Pacers
Andrew Nembhard,PTS,16.5,-117,0.5391705069124424,Indiana Pacers,Charlotte Hornets,Charlotte Hornets @ Indiana Pacers
Collin Sexton,PTS,15.5,-126,0.5575221238938053,Indiana Pacers,Charlotte Hornets,Charlotte Hornets @ Indiana Pacers
Jarace Walker,PTS,10.5,-126,0.5575221238938053,Indiana Pacers,Charlotte Hornets,Charlotte Hornets @ Indiana Pacers
Isaiah Jackson,PTS,9.5,-105,0.5121951219512195,Indiana Pacers,Charlotte Hornets,Charlotte Hornets @ Indiana Pacers
