PLAYER,TEAM,TEAM_FULL,GAME_DATE,r3_PTS,r5_PTS,r3_FG3_PCT,r5_FG3_PCT,r3_EFG,r5_EFG,r3_TS,r5_TS
Herbert Jones,NO,New Orleans Pelicans,2025-11-17,8.0,8.4,15.277777777777777,23.833333333333332,26.48809523809524,37.00396825396825,35.09557304766696,42.190947067466574
Brandon Ingram,TOR,Toronto Raptors,2025-11-17,19.0,20.6,16.666666666666668,13.333333333333332,44.44444444444445,44.90196078431372,50.40289803514289,52.62738706779355
Leonard Miller,MIN,Minnesota Timberwolves,2025-11-17,1.0,2.2,0.0,0.0,16.666666666666668,40.0,25.531914893617017,43.39143809279672
Cooper Flagg,DAL,Dallas Mavericks,2025-11-17,17.333333333333332,18.8,33.33333333333332,32.57142857142857,63.63782051282052,60.84935897435897,63.027063211735815,60.76483916218653
Kevin Huerter,CHI,Chicago Bulls,2025-11-17,15.333333333333334,16.8,14.814814814814815,27.77777777777778,52.94117647058823,60.05042016806723,56.25432829262107,62.13327031089661
Collin Sexton,CHA,Charlotte Hornets,2025-11-17,14.666666666666666,14.6,50.0,40.666666666666664,57.142857142857146,52.142857142857146,62.65626169623474,59.290926019742564
Brooks Barnhizer,OKC,Oklahoma City Thunder,2025-11-17,1.3333333333333333,1.6,0.0,0.0,66.66666666666667,50.0,66.66666666666667,50.638297872340424
Brandon Williams,DAL,Dallas Mavericks,2025-11-17,12.333333333333334,14.6,11.111111111111109,13.333333333333332,36.574074074074076,40.21367521367522,47.697610758529386,51.77273516754747
Giannis Antetokounmpo,MIL,Milwaukee Bucks,2025-11-17,23.666666666666668,27.6,33.333333333333336,30.0,63.333333333333336,61.97777777777778,65.4484255714208,64.02985097034211
Bones Hyland,MIN,Minnesota Timberwolves,2025-11-17,2.0,3.6,0.0,20.0,38.888888888888886,48.33333333333333,38.888888888888886,47.92349726775956
Brook Lopez,LAC,LA Clippers,2025-11-17,3.6666666666666665,6.0,27.777777777777775,36.666666666666664,41.66666666666667,51.28571428571429,47.31753812636166,55.9898466289869
Nikola Vucevic,CHI,Chicago Bulls,2025-11-17,11.666666666666666,11.0,20.833333333333332,24.5,38.88386123680241,38.46018687195158,39.831354327998625,38.86704329083632
Ryan Rollins,MIL,Milwaukee Bucks,2025-11-17,18.0,18.4,38.888888888888886,46.666666666666664,57.32323232323233,59.624708624708624,58.664740713422255,60.61453652353134
Patrick Williams,CHI,Chicago Bulls,2025-11-17,7.333333333333333,7.6,30.555555555555554,40.0,51.07142857142858,56.97619047619048,54.610219356412244,59.80694794037796
Paul George,PHI,Philadelphia 76ers,2025-11-17,9.0,9.0,25.0,25.0,27.77777777777778,27.77777777777778,37.25165562913907,37.25165562913907
Anthony Edwards,MIN,Minnesota Timberwolves,2025-11-17,23.0,26.0,9.523809523809524,25.91630591630592,40.52277432712216,48.58866459627329,49.66237377981512,56.19631911951494
Lonzo Ball,CLE,Cleveland Cavaliers,2025-11-17,10.0,8.2,44.6031746031746,35.33333333333333,65.41666666666667,57.107142857142854,68.0852955960252,58.70832021475799
Donte DiVincenzo,MIN,Minnesota Timberwolves,2025-11-17,15.0,13.4,36.507936507936506,27.738095238095234,62.31060606060606,52.71103896103896,65.46250457593966,59.49894796700901
Donovan Mitchell,CLE,Cleveland Cavaliers,2025-11-17,32.666666666666664,31.0,34.33048433048433,32.68162393162393,58.1048581048581,53.49386724386725,64.89737810226532,59.33457203755886
Shai Gilgeous-Alexander,OKC,Oklahoma City Thunder,2025-11-17,28.666666666666668,29.8,54.52380952380952,49.38095238095239,69.88304093567251,64.34609250398725,77.31903171019836,71.86505001615801
Keshad Johnson,MIA,Miami Heat,2025-11-17,0.0,0.5,0.0,0.0,0.0,12.5,0.0,12.5
Guerschon Yabusele,NY,New York Knicks,2025-11-17,3.0,3.2,55.55555555555555,38.33333333333333,83.33333333333333,61.66666666666667,83.33333333333333,63.10996563573883
Luguentz Dort,OKC,Oklahoma City Thunder,2025-11-17,8.666666666666666,9.2,50.0,37.33333333333333,59.25925925925926,55.55555555555556,60.446583640445624,58.34973457088448
Matas Buzelis,CHI,Chicago Bulls,2025-11-17,17.333333333333332,14.2,40.0,37.333333333333336,53.84615384615385,48.97435897435897,57.55927574716682,54.29003938276884
Andrew Nembhard,IND,Indiana Pacers,2025-11-17,19.333333333333332,19.4,44.444444444444436,41.11111111111111,52.22222222222222,52.83333333333333,64.06689686662172,61.65044476296187
Gradey Dick,TOR,Toronto Raptors,2025-11-17,8.0,6.6,44.444444444444436,31.666666666666664,76.66666666666667,59.57142857142858,78.34467120181405,60.578231292517
Andrew Wiggins,MIA,Miami Heat,2025-11-17,12.666666666666666,15.2,18.88888888888889,24.333333333333332,39.21652421652421,45.94749694749695,40.32125645158664,48.416402721355084
Gary Trent Jr.,MIL,Milwaukee Bucks,2025-11-17,11.0,7.6,57.77777777777777,41.33333333333333,61.388888888888886,48.33333333333333,62.56535947712418,49.03921568627451
Norman Powell,MIA,Miami Heat,2025-11-17,28.0,27.8,34.44444444444445,33.55555555555556,62.390572390572395,57.33565922381712,64.57976938444781,63.13441066765167
Kon Knueppel,CHA,Charlotte Hornets,2025-11-17,21.333333333333332,19.8,41.48148148148148,39.05555555555556,59.583333333333336,58.47727272727273,61.05403982181233,61.8664716881108
Cason Wallace,OKC,Oklahoma City Thunder,2025-11-17,7.666666666666667,6.4,41.666666666666664,34.52380952380952,46.58730158730159,38.95238095238095,50.011074197120706,41.75377095505403
Max Christie,DAL,Dallas Mavericks,2025-11-17,8.333333333333334,10.0,30.952380952380953,36.07142857142857,42.857142857142854,48.76984126984127,52.37056930977685,54.4014239070537
Dominick Barlow,PHI,Philadelphia 76ers,2025-11-17,8.5,8.5,33.33333333333333,33.33333333333333,68.75,68.75,67.11065573770492,67.11065573770492
Sandro Mamukelashvili,TOR,Toronto Raptors,2025-11-17,10.666666666666666,10.8,50.0,41.666666666666664,70.37037037037037,68.44444444444444,71.19228206836466,70.68390303899965
Kris Dunn,LAC,LA Clippers,2025-11-17,7.333333333333333,7.2,33.333333333333336,25.0,43.75,42.25,53.49508520063375,49.39020634456996
Evan Mobley,CLE,Cleveland Cavaliers,2025-11-17,14.333333333333334,17.6,44.444444444444436,46.666666666666664,46.279761904761905,54.00595238095239,50.73911334897574,56.110034505416614
Dwight Powell,DAL,Dallas Mavericks,2025-11-17,0.0,0.4,0.0,0.0,0.0,10.0,0.0,10.0
D'Angelo Russell,DAL,Dallas Mavericks,2025-11-17,16.0,12.0,8.333333333333334,15.0,41.03535353535354,40.0974025974026,44.4857035651767,44.00869788661433
Yves Missi,NO,New Orleans Pelicans,2025-11-17,4.666666666666667,4.2,0.0,0.0,33.333333333333336,30.0,31.68168168168168,31.161786786786784
Bruce Brown,DEN,Denver Nuggets,2025-11-17,3.0,5.8,16.666666666666668,23.333333333333332,15.476190476190476,32.857142857142854,21.651445966514462,37.328061917103014
Ousmane Dieng,OKC,Oklahoma City Thunder,2025-11-17,4.0,3.4,0.0,6.666666666666666,31.944444444444443,25.166666666666668,31.944444444444446,27.67006802721088
Craig Porter Jr.,CLE,Cleveland Cavaliers,2025-11-17,8.0,9.0,33.333333333333336,40.0,66.66666666666667,64.16666666666667,68.5792349726776,65.41180524787083
Sam Merrill,CLE,Cleveland Cavaliers,2025-11-17,15.0,12.4,44.444444444444436,34.166666666666664,72.22222222222221,53.83333333333333,72.74567537725433,55.74299346164671
P.J. Washington,DAL,Dallas Mavericks,2025-11-17,13.333333333333334,14.0,34.92063492063492,23.80952380952381,55.069444444444436,51.22348484848485,56.52915337697946,57.46499715264017
Pelle Larsson,MIA,Miami Heat,2025-11-17,12.0,12.4,55.55555555555555,40.0,60.482804232804234,61.289682539682545,65.33336301272216,65.25530203962316
Chris Youngblood,OKC,Oklahoma City Thunder,2025-11-17,1.0,0.6,33.333333333333336,20.0,50.0,30.0,50.0,30.0
