Player,Team,Pos,Injury,Status
Bam Adebayo,MIA,C,Toe,Questionable
Ochai Agbaji,TOR,F,Back,Questionable
Grayson Allen,PHX,G,Quadriceps,Questionable
Kyle Anderson,UTA,F,Back,Questionable
Giannis Antetokounmpo,MIL,F,Knee,Probable
OG Anunoby,NYK,F,Hamstring,Questionable
LaMelo Ball,CHA,G,Rest,Out
Paolo Banchero,ORL,F,Groin,Out
Bradley Beal,LAC,G,Hip,Out For Season
Christian Braun,DEN,G,Ankle,Out
Jalen Brunson,NYK,G,Ankle,Questionable
Brandon Clarke,MEM,C,Knee,Out
Zach Collins,CHI,C,Wrist,Doubtful
Bilal Coulibaly,WAS,F,Calf,Out
Cedric Coward,MEM,G,Foot,Questionable
Cade Cunningham,DET,G,Hip,Questionable
Anthony Davis,DAL,C,Calf,Questionable
Jalen Duren,DET,C,Ankle,Questionable
Nikola Durisic,ATL,F,Elbow,Questionable
Tari Eason,HOU,F,Hip,Out
Zach Edey,MEM,C,Ankle,Questionable
Joel Embiid,PHI,C,Knee,Questionable
Dante Exum,DAL,G,Knee,Out
Dorian Finney-Smith,HOU,F,Ankle,Out
Johnny Furphy,IND,G,Ankle,Out
Darius Garland,CLE,G,Toe,Out
Paul George,PHI,F,Knee,Questionable
Josh Giddey,CHI,G,Ankle,Questionable
Josh Green,CHA,F,Shoulder,Out
Jalen Green,PHX,G,Hamstring,Out
Rui Hachimura,LAL,F,Calf,Out
Tyrese Haliburton,IND,G,Achilles,Out For Season
Dylan Harper,SAS,G,Calf,Out
Tobias Harris,DET,F,Ankle,Out
Scoot Henderson,POR,G,Hamstring,Out
Taylor Hendricks,UTA,F,Hamstring,Questionable
Tyler Herro,MIA,G,Ankle,Out
Haywood Highsmith,BKN,F,Knee,Out
Kyrie Irving,DAL,G,Knee,Out
Jaden Ivey,DET,G,Knee,Out
Quenton Jackson,IND,G,Hamstring,Out
LeBron James,LAL,F,Back,Out
Ty Jerome,MEM,G,Calf,Out
Cameron Johnson,DEN,F,Biceps,Out
Nikola Jokic,DEN,C,Wrist,Questionable
Kam Jones,IND,G,Back,Out
Walker Kessler,UTA,C,Shoulder,Out For Season
Jonathan Kuminga,GSW,F,Knee,Questionable
Kawhi Leonard,LAC,F,Ankle,Out
Damian Lillard,POR,G,Achilles,Out For Season
Bennedict Mathurin,IND,F,Toe,Out
Kevin McCullar,NYK,F,Back,Questionable
Liam McNeeley,CHA,F,Illness,Out
De'Anthony Melton,GSW,G,Knee,Out
Brandon Miller,CHA,F,Shoulder,Out
Dejounte Murray,NOP,G,Achilles,Out
Keegan Murray,SAC,F,Thumb,Out
Collin Murray-Boyles,TOR,F,Illness,Questionable
Eli John Ndiaye,ATL,F,Groin,Questionable
Aaron Nesmith,IND,F,Knee,Out
Georges Niang,UTA,F,Foot,Out
Kelly Oubre,PHI,F,Knee,Questionable
Scotty Pippen,MEM,G,Toe,Out
Jordan Poole,NOP,G,Quadriceps,Out
Kevin Porter,MIL,G,Knee,Out
Kristaps Porzingis,ATL,C,Rest,Probable
Taurean Prince,MIL,F,Neck,Out
Olivier-Maxence Prosper,MEM,F,Quadriceps,Questionable
Terry Rozier,MIA,G,Not Injury Related,Out
Marcus Sasser,DET,G,Hip,Out
Terrence Shannon,MIN,F,Foot,Out
KJ Simpson,CHA,G,Shoulder,Probable
Javon Small,MEM,G,Toe,Out
Marcus Smart,LAL,G,Illness,Questionable
Thomas Sorber,OKC,C,Knee,Out For Season
Max Strus,CLE,F,Foot,Out
Jayson Tatum,BOS,F,Achilles,Out
Cam Thomas,BKN,G,Hamstring,Out
Ausar Thompson,DET,F,Ankle,Questionable
Matisse Thybulle,POR,F,Thumb,Out
Alex Toohey,GSW,F,Knee,Questionable
Nikola Topic,OKC,G,Groin,Out
Obi Toppin,IND,F,Foot,Out
Jaylon Tyson,CLE,F,Concussion,Out
Fred VanVleet,HOU,G,Knee,Out
Gabe Vincent,LAL,G,Ankle,Out
Moritz Wagner,ORL,C,Knee,Out
P.J. Washington,DAL,F,Shoulder,Questionable
Jamir Watkins,WAS,G,Shoulder,Questionable
Blake Wesley,POR,G,Foot,Out
Coby White,CHI,G,Calf,Questionable
Aaron Wiggins,OKC,F,Thigh,Out
Jalen Williams,OKC,F,Wrist,Out
Jaylin Williams,OKC,C,Shoulder,Out
Mark Williams,PHX,C,Knee,Probable
Grant Williams,CHA,F,Knee,Out
Kenrich Williams,OKC,F,Knee,Out
Zion Williamson,NOP,F,Hamstring,Out
Trae Young,ATL,G,Knee,Out
