TEAM_ABBREVIATION,TEAM_NAME,TEAM_SIDE,CITY,STATE,DEF_RATING,DEF_RATING_Z,LAST_GAME_DATE,DAYS_REST,IS_B2B,TRAVEL_MILES,TRAVEL_FATIGUE,OPP_PTS,OPP_PTS_Z,OPP_TEAM_FULL,PTS_ALLOWED,REB_ALLOWED,AST_ALLOWED,STL_ALLOWED,FG3M_ALLOWED,PTS_ALLOWED_RANK,REB_ALLOWED_RANK,AST_ALLOWED_RANK,STL_ALLOWED_RANK,FG3M_ALLOWED_RANK
CLE,Cleveland Cavaliers,Home,Cleveland,OH,111.8,-0.20974854745719126,11/13/2025,2,No,0.0,0.0,118.23076923076923,0.33092715954874335,Memphis Grizzlies,112.4,43.5,25.6,7.8,13.5,12.0,10.5,8.0,10.0,13.5
CHA,Charlotte Hornets,Home,Charlotte,NC,117.8,1.1483355727692126,11/14/2025,1,Yes,0.0,0.5,121.41666666666667,1.0294248164936501,Oklahoma City Thunder,114.2,45.2,26.8,8.8,14.2,16.0,23.0,16.0,22.5,22.5
IND,Indiana Pacers,Home,Indianapolis,IN,115.6,0.6503713953528638,11/13/2025,2,No,0.0,0.0,122.66666666666667,1.30348325332314,Toronto Raptors,115.1,45.0,26.0,7.2,12.9,17.0,21.5,12.0,4.0,6.5
MIL,Milwaukee Bucks,Home,Milwaukee,WI,113.6,0.19767668861072923,11/14/2025,1,Yes,0.0,0.5,118.76923076923077,0.4489831015676024,Los Angeles Lakers,113.0,45.3,26.4,7.3,13.9,13.0,24.5,14.0,5.0,19.0
MIN,Minnesota Timberwolves,Home,Minneapolis,MN,111.0,-0.39082643015404445,11/14/2025,1,Yes,0.0,0.5,115.25,-0.32259680519850065,Denver Nuggets,109.3,42.9,24.8,8.4,12.7,5.0,8.0,5.5,18.0,3.5
MEM,Memphis Grizzlies,Away,Cleveland,OH,115.5,0.6277366600157583,11/12/2025,3,No,630.7,0.631,120.6923076923077,0.870611465920663,Cleveland Cavaliers,116.9,43.5,27.0,8.7,14.2,24.5,10.5,17.5,20.5,22.5
OKC,Oklahoma City Thunder,Away,Charlotte,NC,101.8,-2.4732220811678642,11/12/2025,3,No,938.8,0.939,107.0,-2.1313824882731334,Charlotte Hornets,107.6,44.9,24.6,6.7,13.5,3.0,20.0,4.0,1.0,13.5
TOR,Toronto Raptors,Away,Indianapolis,IN,112.1,-0.1418443414458717,11/13/2025,2,No,440.2,0.44,116.08333333333333,-0.13989118064550846,Indiana Pacers,115.2,45.0,25.9,9.2,13.2,18.0,21.5,10.5,27.5,11.5
LAL,Los Angeles Lakers,Away,Milwaukee,WI,113.2,0.10713774726230424,11/14/2025,1,Yes,1742.4,2.242,115.92307692307692,-0.17502687767492991,Milwaukee Bucks,112.2,43.0,27.3,8.2,13.6,10.5,9.0,21.5,17.0,16.5
DEN,Denver Nuggets,Away,Minneapolis,MN,108.3,-1.0019642842559269,11/12/2025,3,No,698.5,0.699,111.18181818181819,-1.214532445061748,Minnesota Timberwolves,116.9,42.5,29.0,8.7,14.1,24.5,6.5,29.0,20.5,20.0
