PLAYER,TEAM,MARKET,PROP_NAME,LINE,SEASON_VAL,RECENT_OVER_PROB,RECENT_N,BASE_PROB,ADJ_PROB_BEFORE_INJ,FINAL_OVER_PROB,INJ_Status,IS_OUT,IS_LIMITED,ODDS,IMPLIED_PROB,LINE_TO_SEASON_DIFF,LINE_TO_SEASON_DIFF_POS,DIFFICULTY_FACTOR,UNDERDOG_FACTOR,EDGE_MODEL,PRED_FINAL_OVER_PROB,PRED_IMPLIED_PROB,PRED_EDGE_MODEL,PRED_MODEL_BINARY,PRED_AIR_SCORE,FINAL_OVER_PROB_PCT
Tristan da Silva,ORL,3PM,3-Pointers Made,1.5,2.1,0.75,8,0.8525,0.8525,0.8525,Active,0,0,-169,0.6282527881040892,-0.6000000000000001,0.0,1.0,1.0,0.2242472118959108,0.8525,0.6282527881040892,0.2242472118959108,1,0.8525,85.2%
Kris Dunn,LAC,3PM,3-Pointers Made,0.5,0.9,0.75,8,0.79,0.79,0.79,Active,0,0,-188,0.6527777777777778,-0.4,0.0,1.0,1.0,0.13722222222222225,0.79,0.6527777777777778,0.13722222222222225,1,0.79,79.0%
Russell Westbrook,SAC,3PM,3-Pointers Made,1.5,2.1,0.625,8,0.7837500000000002,0.7837500000000002,0.7837500000000002,Active,0,0,-138,0.5798319327731093,-0.6000000000000001,0.0,1.0,1.0,0.20391806722689088,0.7837500000000002,0.5798319327731093,0.20391806722689088,1,0.7837500000000002,78.4%
Malik Monk,SAC,3PM,3-Pointers Made,1.5,2.1,0.625,8,0.7600000000000001,0.7600000000000001,0.7600000000000001,Active,0,0,-142,0.5867768595041323,-0.6000000000000001,0.0,1.0,1.0,0.17322314049586784,0.7600000000000001,0.5867768595041323,0.17322314049586784,1,0.7600000000000001,76.0%
Harrison Barnes,SAS,3PM,3-Pointers Made,2.5,2.6,0.75,8,0.74,0.74,0.74,Active,0,0,114,0.4672897196261682,-0.10000000000000009,0.0,1.0,1.0,0.27271028037383177,0.74,0.4672897196261682,0.27271028037383177,1,0.74,74.0%
Onyeka Okongwu,ATL,3PM,3-Pointers Made,1.5,1.9,0.625,8,0.73875,0.73875,0.73875,Active,0,0,-123,0.5515695067264574,-0.3999999999999999,0.0,1.0,1.0,0.18718049327354258,0.73875,0.5515695067264574,0.18718049327354258,1,0.73875,73.9%
Cedric Coward,MEM,3PM,3-Pointers Made,1.5,1.9,0.625,8,0.73875,0.73875,0.73875,Active,0,0,-169,0.6282527881040892,-0.3999999999999999,0.0,1.0,1.0,0.11049721189591077,0.73875,0.6282527881040892,0.11049721189591077,1,0.73875,73.9%
James Harden,LAC,3PM,3-Pointers Made,3.5,3.6,0.625,8,0.6712500000000001,0.6712500000000001,0.6712500000000001,Active,0,0,118,0.4587155963302752,-0.10000000000000009,0.0,1.0,1.0,0.21253440366972493,0.6712500000000001,0.4587155963302752,0.21253440366972493,1,0.6712500000000001,67.1%
VJ Edgecombe,PHI,3PM,3-Pointers Made,1.5,2.0,0.5,8,0.6625000000000001,0.6625000000000001,0.6625000000000001,Active,0,0,-149,0.5983935742971888,-0.5,0.0,1.0,1.0,0.06410642570281133,0.6625000000000001,0.5983935742971888,0.06410642570281133,1,0.6625000000000001,66.3%
Ryan Rollins,MIL,3PM,3-Pointers Made,2.5,2.5,0.625,8,0.6375,0.6375,0.6375,Active,0,0,-120,0.5454545454545454,0.0,0.0,1.0,1.0,0.09204545454545454,0.6375,0.5454545454545454,0.09204545454545454,1,0.6375,63.7%
