PLAYER,TEAM,MARKET,PROP_NAME,LINE,SEASON_VAL,RECENT_OVER_PROB,RECENT_N,BASE_PROB,ADJ_PROB_BEFORE_INJ,FINAL_OVER_PROB,INJ_Status,IS_OUT,IS_LIMITED,ODDS,IMPLIED_PROB,LINE_TO_SEASON_DIFF,LINE_TO_SEASON_DIFF_POS,DIFFICULTY_FACTOR,UNDERDOG_FACTOR,EDGE_MODEL,PRED_FINAL_OVER_PROB,PRED_IMPLIED_PROB,PRED_EDGE_MODEL,PRED_MODEL_BINARY,PRED_AIR_SCORE,FINAL_OVER_PROB_PCT
Dyson Daniels,ATL,AST,Assists,5.5,5.8,0.875,8,0.8200000000000001,0.8200000000000001,0.8200000000000001,Active,0,0,-138,0.5798319327731093,-0.2999999999999998,0.0,1.0,1.0,0.24016806722689077,0.8200000000000001,0.5798319327731093,0.24016806722689077,1,0.8200000000000001,82.0%
James Harden,LAC,AST,Assists,7.5,8.7,0.625,8,0.7756249999999999,0.7756249999999999,0.7756249999999999,Active,0,0,-147,0.5951417004048583,-1.1999999999999993,0.0,1.0,1.0,0.18048329959514164,0.7756249999999999,0.5951417004048583,0.18048329959514164,1,0.7756249999999999,77.6%
VJ Edgecombe,PHI,AST,Assists,3.5,4.3,0.625,8,0.715,0.715,0.715,Active,0,0,-123,0.5515695067264574,-0.7999999999999998,0.0,1.0,1.0,0.16343049327354253,0.715,0.5515695067264574,0.16343049327354253,1,0.715,71.5%
Cole Anthony,MIL,AST,Assists,4.5,5.2,0.625,8,0.713125,0.713125,0.713125,Active,0,0,-112,0.5283018867924528,-0.7000000000000002,0.0,1.0,1.0,0.18482311320754718,0.713125,0.5283018867924528,0.18482311320754718,1,0.713125,71.3%
Kris Dunn,LAC,AST,Assists,2.5,2.4,0.75,8,0.698125,0.698125,0.698125,Active,0,0,129,0.4366812227074236,0.10000000000000009,0.10000000000000009,1.01,1.25,0.2614437772925764,0.698125,0.4366812227074236,0.2614437772925764,1,0.8813828125000001,69.8%
Ivica Zubac,LAC,AST,Assists,1.5,2.1,0.625,8,0.6956249999999999,0.6956249999999999,0.6956249999999999,Active,0,0,-192,0.6575342465753424,-0.6000000000000001,0.0,1.0,1.0,0.03809075342465751,0.6956249999999999,0.6575342465753424,0.03809075342465751,1,0.6956249999999999,69.6%
Tyrese Maxey,PHI,AST,Assists,6.5,7.8,0.625,8,0.7743749999999999,0.7743749999999999,0.65821875,Probable,0,1,-140,0.5833333333333334,-1.2999999999999998,0.0,1.0,1.0,0.0748854166666666,0.65821875,0.5833333333333334,0.0748854166666666,1,0.65821875,65.8%
Jalen Suggs,ORL,AST,Assists,4.5,4.7,0.625,8,0.65375,0.65375,0.65375,Active,0,0,-147,0.5951417004048583,-0.20000000000000018,0.0,1.0,1.0,0.0586082995951418,0.65375,0.5951417004048583,0.0586082995951418,1,0.65375,65.4%
Jalen Johnson,ATL,AST,Assists,6.5,6.5,0.625,8,0.64375,0.64375,0.64375,Active,0,0,-133,0.5708154506437768,0.0,0.0,1.0,1.0,0.07293454935622323,0.64375,0.5708154506437768,0.07293454935622323,1,0.64375,64.4%
Russell Westbrook,SAC,AST,Assists,6.5,6.4,0.625,8,0.6356250000000001,0.6356250000000001,0.6356250000000001,Active,0,0,-136,0.576271186440678,0.09999999999999964,0.09999999999999964,1.01,1.0,0.05935381355932212,0.6356250000000001,0.576271186440678,0.05935381355932212,1,0.6419812500000001,63.6%
