PLAYER,TEAM,MARKET,PROP_NAME,LINE,SEASON_VAL,RECENT_OVER_PROB,RECENT_N,BASE_PROB,ADJ_PROB_BEFORE_INJ,FINAL_OVER_PROB,INJ_Status,IS_OUT,IS_LIMITED,ODDS,IMPLIED_PROB,LINE_TO_SEASON_DIFF,LINE_TO_SEASON_DIFF_POS,DIFFICULTY_FACTOR,UNDERDOG_FACTOR,EDGE_MODEL,PRED_FINAL_OVER_PROB,PRED_IMPLIED_PROB,PRED_EDGE_MODEL,PRED_MODEL_BINARY,PRED_AIR_SCORE,FINAL_OVER_PROB_PCT
Jalen Duren,DET,PTS,Points,17.5,20.6,0.875,8,0.9257500000000003,0.9257500000000003,0.9257500000000003,Active,0,0,-117,0.5391705069124424,-3.1000000000000014,0.0,1.0,1.0,0.3865794930875579,0.9257500000000003,0.5391705069124424,0.3865794930875579,1,0.9257500000000003,92.6%
Duncan Robinson,DET,PTS,Points,10.5,12.7,0.75,8,0.8165,0.8165,0.8165,Active,0,0,-117,0.5391705069124424,-2.1999999999999993,0.0,1.0,1.0,0.2773294930875576,0.8165,0.5391705069124424,0.2773294930875576,1,0.8165,81.7%
Ausar Thompson,DET,PTS,Points,10.5,13.2,0.7142857142857143,7,0.8100714285714286,0.8100714285714286,0.8100714285714286,Active,0,0,-102,0.504950495049505,-2.6999999999999993,0.0,1.0,1.0,0.3051209335219236,0.8100714285714286,0.504950495049505,0.3051209335219236,1,0.8100714285714286,81.0%
Landry Shamet,NYK,PTS,Points,8.5,9.9,0.75,8,0.7805000000000002,0.7805000000000002,0.7805000000000002,Active,0,0,-123,0.5515695067264574,-1.4000000000000004,0.0,1.0,1.0,0.22893049327354276,0.7805000000000002,0.5515695067264574,0.22893049327354276,1,0.7805000000000002,78.1%
Jock Landale,MEM,PTS,Points,8.5,10.6,0.625,8,0.7295,0.7295,0.7295,Active,0,0,-131,0.5670995670995671,-2.0999999999999996,0.0,1.0,1.0,0.16240043290043293,0.7295,0.5670995670995671,0.16240043290043293,1,0.7295,73.0%
Goga Bitadze,ORL,PTS,Points,4.5,6.2,0.625,8,0.7065000000000001,0.7065000000000001,0.7065000000000001,Active,0,0,-123,0.5515695067264574,-1.7000000000000002,0.0,1.0,1.0,0.1549304932735427,0.7065000000000001,0.5515695067264574,0.1549304932735427,1,0.7065000000000001,70.7%
Coby White,CHI,PTS,Points,20.5,26.0,1.0,2,0.7050000000000001,0.7050000000000001,0.7050000000000001,Active,0,0,-117,0.5391705069124424,-5.5,0.0,1.0,1.0,0.16582949308755768,0.7050000000000001,0.5391705069124424,0.16582949308755768,1,0.7050000000000001,70.5%
Nickeil Alexander-Walker,ATL,PTS,Points,18.5,19.7,0.625,8,0.70275,0.70275,0.70275,Active,0,0,-106,0.5145631067961165,-1.1999999999999993,0.0,1.0,1.0,0.1881868932038835,0.70275,0.5145631067961165,0.1881868932038835,1,0.70275,70.3%
Anthony Black,ORL,PTS,Points,10.5,11.8,0.625,8,0.6910000000000001,0.6910000000000001,0.6910000000000001,Active,0,0,-123,0.5515695067264574,-1.3000000000000007,0.0,1.0,1.0,0.13943049327354262,0.6910000000000001,0.5515695067264574,0.13943049327354262,1,0.6910000000000001,69.1%
Josh Hart,NYK,PTS,Points,10.5,9.7,0.75,8,0.6727500000000001,0.6727500000000001,0.6727500000000001,Active,0,0,-123,0.5515695067264574,0.8000000000000007,0.8000000000000007,1.08,1.0,0.12118049327354263,0.6727500000000001,0.5515695067264574,0.12118049327354263,1,0.7265700000000002,67.3%
