PLAYER,TEAM,MARKET,PROP_NAME,LINE,SEASON_VAL,RECENT_OVER_PROB,RECENT_N,BASE_PROB,ADJ_PROB_BEFORE_INJ,FINAL_OVER_PROB,INJ_Status,IS_OUT,IS_LIMITED,ODDS,IMPLIED_PROB,LINE_TO_SEASON_DIFF,LINE_TO_SEASON_DIFF_POS,DIFFICULTY_FACTOR,UNDERDOG_FACTOR,EDGE_MODEL,PRED_FINAL_OVER_PROB,PRED_IMPLIED_PROB,PRED_EDGE_MODEL,PRED_MODEL_BINARY,PRED_AIR_SCORE,FINAL_OVER_PROB_PCT
Mitchell Robinson,NYK,REB,Rebounds,7.5,8.9,0.875,8,0.9437500000000001,0.9437500000000001,0.9437500000000001,Active,0,0,-128,0.5614035087719298,-1.4000000000000004,0.0,1.0,1.0,0.3823464912280703,0.9437500000000001,0.5614035087719298,0.3823464912280703,1,0.9437500000000001,94.4%
Jock Landale,MEM,REB,Rebounds,4.5,5.6,0.875,8,0.9100000000000001,0.9100000000000001,0.9100000000000001,Active,0,0,-121,0.5475113122171946,-1.0999999999999996,0.0,1.0,1.0,0.3624886877828055,0.9100000000000001,0.5475113122171946,0.3624886877828055,1,0.9100000000000001,91.0%
Karl-Anthony Towns,NYK,REB,Rebounds,11.5,12.8,0.75,8,0.8587500000000001,0.8587500000000001,0.8587500000000001,Active,0,0,-116,0.5370370370370371,-1.3000000000000007,0.0,1.0,1.0,0.32171296296296303,0.8587500000000001,0.5370370370370371,0.32171296296296303,1,0.8587500000000001,85.9%
Anthony Black,ORL,REB,Rebounds,2.5,3.1,0.875,8,0.8393750000000002,0.8393750000000002,0.8393750000000002,Active,0,0,-175,0.6363636363636364,-0.6000000000000001,0.0,1.0,1.0,0.20301136363636385,0.8393750000000002,0.6363636363636364,0.20301136363636385,1,0.8393750000000002,83.9%
Cedric Coward,MEM,REB,Rebounds,5.5,6.3,0.75,8,0.8075000000000001,0.8075000000000001,0.8075000000000001,Active,0,0,-128,0.5614035087719298,-0.7999999999999998,0.0,1.0,1.0,0.2460964912280703,0.8075000000000001,0.5614035087719298,0.2460964912280703,1,0.8075000000000001,80.8%
Jamal Murray,DEN,REB,Rebounds,3.5,4.9,0.625,8,0.8062500000000001,0.8062500000000001,0.8062500000000001,Active,0,0,-153,0.6047430830039525,-1.4000000000000004,0.0,1.0,1.0,0.2015069169960476,0.8062500000000001,0.6047430830039525,0.2015069169960476,1,0.8062500000000001,80.6%
Naji Marshall,DAL,REB,Rebounds,4.5,4.8,0.75,8,0.75125,0.75125,0.75125,Active,0,0,-135,0.574468085106383,-0.2999999999999998,0.0,1.0,1.0,0.17678191489361694,0.75125,0.574468085106383,0.17678191489361694,1,0.75125,75.1%
Dyson Daniels,ATL,REB,Rebounds,5.5,5.9,0.75,8,0.7481250000000002,0.7481250000000002,0.7481250000000002,Active,0,0,-128,0.5614035087719298,-0.40000000000000036,0.0,1.0,1.0,0.18672149122807036,0.7481250000000002,0.5614035087719298,0.18672149122807036,1,0.7481250000000002,74.8%
Zaccharie Risacher,ATL,REB,Rebounds,2.5,2.6,0.75,8,0.7175,0.7175,0.7175,Active,0,0,-166,0.6240601503759399,-0.10000000000000009,0.0,1.0,1.0,0.09343984962406016,0.7175,0.6240601503759399,0.09343984962406016,1,0.7175,71.8%
Max Christie,DAL,REB,Rebounds,3.5,3.5,0.75,8,0.7175,0.7175,0.7175,Active,0,0,-131,0.5670995670995671,0.0,0.0,1.0,1.0,0.15040043290043292,0.7175,0.5670995670995671,0.15040043290043292,1,0.7175,71.8%
