PLAYER,TEAM,MARKET,PROP_NAME,LINE,SEASON_VAL,RECENT_OVER_PROB,RECENT_N,BASE_PROB,ADJ_PROB_BEFORE_INJ,FINAL_OVER_PROB,INJ_Status,IS_OUT,IS_LIMITED,ODDS,IMPLIED_PROB,LINE_TO_SEASON_DIFF,LINE_TO_SEASON_DIFF_POS,DIFFICULTY_FACTOR,UNDERDOG_FACTOR,EDGE_MODEL,PRED_FINAL_OVER_PROB,PRED_IMPLIED_PROB,PRED_EDGE_MODEL,PRED_MODEL_BINARY,PRED_AIR_SCORE,FINAL_OVER_PROB_PCT
P.J. Washington,DAL,STL,Steals,0.5,0.0,0.875,8,0.6737500000000001,0.6737500000000001,0.6737500000000001,Active,0,0,-238,0.7041420118343196,0.5,0.5,1.05,1.0,-0.0303920118343195,0.6737500000000001,0.7041420118343196,-0.0303920118343195,1,0.7074375,67.4%
Julius Randle,MIN,STL,Steals,0.5,0.0,0.75,8,0.605,0.605,0.605,Active,0,0,-222,0.6894409937888198,0.5,0.5,1.05,1.0,-0.08444099378881986,0.605,0.6894409937888198,-0.08444099378881986,1,0.63525,60.5%
Shai Gilgeous-Alexander,OKC,STL,Steals,1.5,0.0,0.875,8,0.56125,0.56125,0.56125,Active,0,0,-126,0.5575221238938053,1.5,1.5,1.15,1.0,0.0037278761061947385,0.56125,0.5575221238938053,0.0037278761061947385,1,0.6454375,56.1%
Ryan Dunn,PHX,STL,Steals,0.5,0.0,0.625,8,0.53625,0.53625,0.53625,Active,0,0,-243,0.7084548104956269,0.5,0.5,1.05,1.0,-0.17220481049562686,0.53625,0.7084548104956269,-0.17220481049562686,1,0.5630625,53.6%
Devin Booker,PHX,STL,Steals,0.5,0.0,0.625,8,0.53625,0.53625,0.53625,Active,0,0,-166,0.6240601503759399,0.5,0.5,1.05,1.0,-0.08781015037593987,0.53625,0.6240601503759399,-0.08781015037593987,1,0.5630625,53.6%
Lauri Markkanen,UTA,STL,Steals,0.5,0.0,0.625,8,0.53625,0.53625,0.53625,Active,0,0,-135,0.574468085106383,0.5,0.5,1.05,1.0,-0.038218085106383026,0.53625,0.574468085106383,-0.038218085106383026,1,0.5630625,53.6%
Darius Garland,CLE,STL,Steals,0.5,0.0,0.6666666666666666,3,0.5591666666666667,0.5591666666666667,0.47529166666666667,Questionable,0,1,-178,0.6402877697841727,0.5,0.5,1.05,1.0,-0.164996103117506,0.47529166666666667,0.6402877697841727,-0.164996103117506,0,0.49905625000000003,47.5%
Josh Giddey,CHI,STL,Steals,0.5,0.0,0.5,8,0.4675,0.4675,0.4675,Active,0,0,-232,0.6987951807228916,0.5,0.5,1.05,1.0,-0.23129518072289157,0.4675,0.6987951807228916,-0.23129518072289157,0,0.49087500000000006,46.8%
Keyonte George,UTA,STL,Steals,0.5,0.0,0.5,8,0.4675,0.4675,0.4675,Active,0,0,-181,0.6441281138790036,0.5,0.5,1.05,1.0,-0.17662811387900357,0.4675,0.6441281138790036,-0.17662811387900357,0,0.49087500000000006,46.8%
Ace Bailey,UTA,STL,Steals,0.5,0.0,0.5,8,0.4675,0.4675,0.4675,Active,0,0,-144,0.5901639344262295,0.5,0.5,1.05,1.0,-0.12266393442622947,0.4675,0.5901639344262295,-0.12266393442622947,0,0.49087500000000006,46.8%
